year,team,total_matches,total_won,total_tie,total_loss,total_points
2008,RAJASTHAN ROYALS,14,11,0,3,22
2008,KINGS XI PUNJAB,14,10,0,4,20
2008,CHENNAI SUPER KINGS,14,8,0,6,16
2008,DELHI CAPITALS,14,7,1,6,15
2008,MUMBAI INDIANS,14,7,0,7,14
2008,KOLKATA KNIGHT RIDERS,14,6,1,7,13
2008,ROYAL CHALLENGERS BANGALORE,14,4,0,10,8
2008,SUNRISERS HYDERABAD,14,2,0,12,4
2009,DELHI CAPITALS,14,10,0,4,20
2009,CHENNAI SUPER KINGS,14,8,1,5,17
2009,ROYAL CHALLENGERS BANGALORE,14,8,0,6,16
2009,KINGS XI PUNJAB,14,7,0,7,14
2009,SUNRISERS HYDERABAD,14,7,0,7,14
2009,RAJASTHAN ROYALS,14,6,1,7,13
2009,MUMBAI INDIANS,14,5,1,8,11
2009,KOLKATA KNIGHT RIDERS,14,3,1,10,7
2010,MUMBAI INDIANS,14,10,0,4,20
2010,SUNRISERS HYDERABAD,14,8,0,6,16
2010,ROYAL CHALLENGERS BANGALORE,14,7,0,7,14
2010,KOLKATA KNIGHT RIDERS,14,7,0,7,14
2010,DELHI CAPITALS,14,7,0,7,14
2010,CHENNAI SUPER KINGS,14,7,0,7,14
2010,RAJASTHAN ROYALS,14,6,0,8,12
2010,KINGS XI PUNJAB,14,4,0,10,8
2011,ROYAL CHALLENGERS BANGALORE,14,9,1,4,19
2011,MUMBAI INDIANS,14,9,0,5,18
2011,CHENNAI SUPER KINGS,14,9,0,5,18
2011,KOLKATA KNIGHT RIDERS,14,8,0,6,16
2011,KINGS XI PUNJAB,14,7,0,7,14
2011,RAJASTHAN ROYALS,14,6,1,7,13
2011,SUNRISERS HYDERABAD,14,6,0,8,12
2011,KOCHI TUSKERS KERALA,14,6,0,8,12
2011,DELHI CAPITALS,14,4,1,9,9
2011,PUNE WARRIORS,14,4,1,9,9
2012,DELHI CAPITALS,16,11,0,5,22
2012,KOLKATA KNIGHT RIDERS,16,10,1,5,21
2012,MUMBAI INDIANS,16,10,0,6,20
2012,ROYAL CHALLENGERS BANGALORE,16,8,1,7,17
2012,CHENNAI SUPER KINGS,16,8,1,7,17
2012,KINGS XI PUNJAB,16,8,0,8,16
2012,RAJASTHAN ROYALS,16,7,0,9,14
2012,SUNRISERS HYDERABAD,16,4,1,11,9
2012,PUNE WARRIORS,16,4,0,12,8
2013,CHENNAI SUPER KINGS,16,11,0,5,22
2013,MUMBAI INDIANS,16,11,0,5,22
2013,RAJASTHAN ROYALS,16,10,0,6,20
2013,SUNRISERS HYDERABAD,16,10,0,6,20
2013,ROYAL CHALLENGERS BANGALORE,16,9,0,7,18
2013,KINGS XI PUNJAB,16,8,0,8,16
2013,KOLKATA KNIGHT RIDERS,16,6,0,10,12
2013,PUNE WARRIORS,16,4,0,12,8
2013,DELHI CAPITALS,16,3,0,13,6
2014,KINGS XI PUNJAB,14,11,0,3,22
2014,KOLKATA KNIGHT RIDERS,14,9,0,5,18
2014,CHENNAI SUPER KINGS,14,9,0,5,18
2014,MUMBAI INDIANS,14,7,0,7,14
2014,RAJASTHAN ROYALS,14,7,0,7,14
2014,SUNRISERS HYDERABAD,14,6,0,8,12
2014,ROYAL CHALLENGERS BANGALORE,14,5,0,9,10
2014,DELHI CAPITALS,14,2,0,12,4
2015,CHENNAI SUPER KINGS,14,9,0,5,18
2015,MUMBAI INDIANS,14,8,0,6,16
2015,RAJASTHAN ROYALS,14,7,2,5,16
2015,ROYAL CHALLENGERS BANGALORE,14,7,2,5,16
2015,KOLKATA KNIGHT RIDERS,14,7,1,6,15
2015,SUNRISERS HYDERABAD,14,7,0,7,14
2015,DELHI CAPITALS,14,5,1,8,11
2015,KINGS XI PUNJAB,14,3,0,11,6
2016,GUJARAT LIONS,14,9,0,5,18
2016,SUNRISERS HYDERABAD,14,8,0,6,16
2016,KOLKATA KNIGHT RIDERS,14,8,0,6,16
2016,ROYAL CHALLENGERS BANGALORE,14,8,0,6,16
2016,MUMBAI INDIANS,14,7,0,7,14
2016,DELHI CAPITALS,14,7,0,7,14
2016,RISING PUNE SUPERGIANTS,14,5,0,9,10
2016,KINGS XI PUNJAB,14,4,0,10,8
2017,MUMBAI INDIANS,14,10,0,4,20
2017,RISING PUNE SUPERGIANTS,14,9,0,5,18
2017,SUNRISERS HYDERABAD,14,8,1,5,17
2017,KOLKATA KNIGHT RIDERS,14,8,0,6,16
2017,KINGS XI PUNJAB,14,7,0,7,14
2017,DELHI CAPITALS,14,6,0,8,12
2017,GUJARAT LIONS,14,4,0,10,8
2017,ROYAL CHALLENGERS BANGALORE,14,3,1,10,7
2018,SUNRISERS HYDERABAD,14,9,0,5,18
2018,CHENNAI SUPER KINGS,14,9,0,5,18
2018,KOLKATA KNIGHT RIDERS,14,8,0,6,16
2018,RAJASTHAN ROYALS,14,7,0,7,14
2018,MUMBAI INDIANS,14,6,0,8,12
2018,KINGS XI PUNJAB,14,6,0,8,12
2018,ROYAL CHALLENGERS BANGALORE,14,6,0,8,12
2018,DELHI CAPITALS,14,5,0,9,10
2019,MUMBAI INDIANS,14,9,0,5,18
2019,CHENNAI SUPER KINGS,14,9,0,5,18
2019,DELHI CAPITALS,14,9,0,5,18
2019,KOLKATA KNIGHT RIDERS,14,6,0,8,12
2019,SUNRISERS HYDERABAD,14,6,0,8,12
2019,KINGS XI PUNJAB,14,6,0,8,12
2019,RAJASTHAN ROYALS,14,5,1,8,11
2019,ROYAL CHALLENGERS BANGALORE,14,5,1,8,11
2020,DELHI CAPITALS,2,2,0,0,4
